ip,domain,timestamp_utc,checked_at_utc,http,https
10.204.185.19,10.204.185.19,2025-09-13 05:59:36 UTC,2025-09-13 06:02:44 UTC,STATUS 400,OPEN
118.79.161.247,247.161.79.118.adsl-pool.sx.cn,2025-09-13 05:59:36 UTC,2025-09-13 06:04:39 UTC,STATUS 301,OPEN
171.103.138.126,171-103-138-126.static.asianet.co.th,2025-09-13 06:00:18 UTC,2025-09-13 06:03:34 UTC,STATUS 302,OPEN
18.161.254.142,server-18-161-254-142.bkk50.r.cloudfront.net,2025-09-13 05:59:36 UTC,2025-09-13 06:04:39 UTC,STATUS 403,OPEN
23.8.205.190,a23-8-205-190.deploy.static.akamaitechnologies.com,2025-09-13 06:38:45 UTC,2025-09-13 06:41:01 UTC,STATUS 400,OPEN
3.165.11.156,server-3-165-11-156.nrt12.r.cloudfront.net,2025-09-13 05:59:36 UTC,2025-09-13 06:02:49 UTC,STATUS 403,OPEN
219.70.206.143,host-219-70-206-143.dynamic.kbtelecom.net,2025-09-13 06:38:03 UTC,2025-09-13 06:40:13 UTC,STATUS 200,OPEN
91.99.200.153,static.153.200.99.91.clients.your-server.de,2025-09-13 05:59:36 UTC,2025-09-13 06:02:29 UTC,STATUS 404,OPEN
49.13.58.233,static.233.58.13.49.clients.your-server.de,2025-09-13 06:38:03 UTC,2025-09-13 06:40:13 UTC,STATUS 301,OPEN
49.13.206.119,reach.c8133.net,2025-09-13 06:38:45 UTC,2025-09-13 06:40:13 UTC,STATUS 308,STATUS 404
198.12.239.240,240.239.12.198.host.secureserver.net,2025-09-13 06:00:18 UTC,2025-09-13 06:03:45 UTC,STATUS 301,OPEN
52.84.95.65,server-52-84-95-65.lhr62.r.cloudfront.net,2025-09-13 06:00:18 UTC,2025-09-13 06:03:48 UTC,STATUS 403,OPEN
188.166.105.213,cg.4d003.neth.cloud,2025-09-13 06:00:18 UTC,2025-09-13 06:04:39 UTC,STATUS 403,STATUS 403
34.111.147.151,151.147.111.34.bc.googleusercontent.com,2025-09-13 07:10:03 UTC,2025-09-13 07:10:26 UTC,,
2.17.76.3,a2-17-76-3.deploy.static.akamaitechnologies.com,2025-09-13 05:30:15 UTC,2025-09-13 05:40:26 UTC,STATUS 400,OPEN
23.61.193.39,a23-61-193-39.deploy.static.akamaitechnologies.com,2025-09-13 05:32:52 UTC,2025-09-13 05:51:36 UTC,STATUS 400,OPEN
13.224.10.112,server-13-224-10-112.sea19.r.cloudfront.net,2025-09-13 05:32:52 UTC,2025-09-13 05:49:59 UTC,STATUS 403,OPEN
23.10.210.80,a23-10-210-80.deploy.static.akamaitechnologies.com,2025-09-13 05:32:52 UTC,2025-09-13 05:49:23 UTC,STATUS 400,OPEN
149.96.254.62,vip-149-96-254-62.cust.service-now.com,2025-09-13 05:59:36 UTC,2025-09-13 06:02:11 UTC,STATUS 301,OPEN
157.230.135.255,cococs.org,2025-09-13 06:48:16 UTC,2025-09-13 06:51:53 UTC,STATUS 301,STATUS 200
13.35.121.233,server-13-35-121-233.sfo5.r.cloudfront.net,2025-09-13 05:32:52 UTC,2025-09-13 05:49:44 UTC,STATUS 403,OPEN
108.138.174.244,server-108-138-174-244.dfw56.r.cloudfront.net,2025-09-13 05:32:52 UTC,2025-09-13 05:51:36 UTC,STATUS 403,OPEN
172.104.154.130,li1670-130.members.linode.com,2025-09-13 06:48:16 UTC,2025-09-13 06:52:28 UTC,STATUS 403,OPEN
161.97.133.107,alpha.stevnet.de,2025-09-13 06:00:18 UTC,2025-09-13 06:02:59 UTC,STATUS 404,OPEN
184.51.101.18,a184-51-101-18.deploy.static.akamaitechnologies.com,2025-09-13 06:00:18 UTC,2025-09-13 06:03:36 UTC,STATUS 400,OPEN
149.202.83.78,ns3019036.ip-149-202-83.eu,2025-09-13 05:31:18 UTC,2025-09-13 05:51:36 UTC,STATUS 200,OPEN
13.226.161.146,server-13-226-161-146.mxp64.r.cloudfront.net,2025-09-13 06:48:16 UTC,2025-09-13 06:52:31 UTC,STATUS 403,OPEN
23.196.231.5,a23-196-231-5.deploy.static.akamaitechnologies.com,2025-09-13 06:38:45 UTC,2025-09-13 06:40:18 UTC,STATUS 400,OPEN
23.32.80.192,a23-32-80-192.deploy.static.akamaitechnologies.com,2025-09-13 05:59:36 UTC,2025-09-13 06:04:39 UTC,STATUS 400,OPEN
34.149.197.205,205.197.149.34.bc.googleusercontent.com,2025-09-13 07:10:03 UTC,2025-09-13 07:10:30 UTC,,
95.217.142.167,static.167.142.217.95.clients.your-server.de,2025-09-13 06:48:16 UTC,2025-09-13 06:52:30 UTC,STATUS 200,OPEN
184.29.211.59,a184-29-211-59.deploy.static.akamaitechnologies.com,2025-09-13 06:00:18 UTC,2025-09-13 06:03:38 UTC,STATUS 400,OPEN
104.197.135.253,253.135.197.104.bc.googleusercontent.com,2025-09-13 06:48:16 UTC,2025-09-13 06:52:31 UTC,STATUS 404,OPEN
23.36.125.187,a23-36-125-187.deploy.static.akamaitechnologies.com,2025-09-13 06:38:45 UTC,2025-09-13 06:40:35 UTC,STATUS 400,OPEN
5.45.109.158,v2202303196230223019.ultrasrv.de,2025-09-13 06:38:45 UTC,2025-09-13 06:40:17 UTC,STATUS 200,CLOSED
3.169.193.249,server-3-169-193-249.den53.r.cloudfront.net,2025-09-13 06:48:16 UTC,2025-09-13 06:52:07 UTC,STATUS 403,OPEN
17.253.50.111,uschi5-ve-vac-011.aaplimg.com,2025-09-13 06:38:45 UTC,2025-09-13 06:41:00 UTC,STATUS 404,OPEN
134.169.15.75,shortener.rz.tu-bs.de,2025-09-13 06:48:16 UTC,2025-09-13 06:51:53 UTC,STATUS 301,OPEN
92.123.150.31,a92-123-150-31.deploy.static.akamaitechnologies.com,2025-09-13 05:59:36 UTC,2025-09-13 06:04:39 UTC,STATUS 400,OPEN
23.4.130.175,a23-4-130-175.deploy.static.akamaitechnologies.com,2025-09-13 06:38:45 UTC,2025-09-13 06:40:33 UTC,STATUS 400,OPEN
34.88.25.36,36.25.88.34.bc.googleusercontent.com,2025-09-13 06:38:45 UTC,2025-09-13 06:40:56 UTC,STATUS 404,OPEN
52.85.145.171,server-52-85-145-171.iad89.r.cloudfront.net,2025-09-13 06:00:18 UTC,2025-09-13 06:03:34 UTC,STATUS 403,OPEN
23.47.171.241,a23-47-171-241.deploy.static.akamaitechnologies.com,2025-09-13 06:48:16 UTC,2025-09-13 06:51:55 UTC,STATUS 400,OPEN
114.141.206.119,unregistered.netregistry.net,2025-09-13 07:10:03 UTC,2025-09-13 07:10:25 UTC,,
75.65.144.145,c-75-65-144-145.hsd1.la.comcast.net,2025-09-13 05:32:52 UTC,2025-09-13 05:51:36 UTC,STATUS 200,CLOSED
23.41.197.92,a23-41-197-92.deploy.static.akamaitechnologies.com,2025-09-13 05:32:52 UTC,2025-09-13 05:51:36 UTC,STATUS 400,OPEN
3.165.148.58,server-3-165-148-58.man51.r.cloudfront.net,2025-09-13 07:10:03 UTC,2025-09-13 07:10:26 UTC,,
24.171.110.60,syn-024-171-110-060.res.spectrum.com,2025-09-13 06:48:16 UTC,2025-09-13 06:52:13 UTC,STATUS 403,CLOSED
99.84.201.26,server-99-84-201-26.msp50.r.cloudfront.net,2025-09-13 07:10:03 UTC,2025-09-13 07:10:05 UTC,,
23.223.246.48,a23-223-246-48.deploy.static.akamaitechnologies.com,2025-09-13 07:10:03 UTC,2025-09-13 07:10:32 UTC,,
23.67.28.172,a23-67-28-172.deploy.static.akamaitechnologies.com,2025-09-13 05:32:52 UTC,2025-09-13 05:49:55 UTC,STATUS 400,OPEN
177.153.36.179,vpshostw0852.publiccloud.com.br,2025-09-13 07:10:03 UTC,2025-09-13 07:10:05 UTC,,
88.221.243.236,a88-221-243-236.deploy.static.akamaitechnologies.com,2025-09-13 06:47:34 UTC,2025-09-13 06:51:49 UTC,STATUS 400,OPEN
178.169.120.165,host-120-165.siberianet.ru,2025-09-13 06:00:18 UTC,2025-09-13 06:04:39 UTC,STATUS 301,STATUS 404
23.42.251.62,a23-42-251-62.deploy.static.akamaitechnologies.com,2025-09-13 07:10:03 UTC,2025-09-13 07:10:09 UTC,,
96.7.14.246,a96-7-14-246.deploy.static.akamaitechnologies.com,2025-09-13 05:32:52 UTC,2025-09-13 05:49:38 UTC,STATUS 400,OPEN
184.85.37.125,a184-85-37-125.deploy.static.akamaitechnologies.com,2025-09-13 06:48:16 UTC,2025-09-13 06:52:43 UTC,STATUS 400,OPEN
66.218.200.71,paei.org,2025-09-13 07:06:39 UTC,2025-09-13 07:07:49 UTC,,
